,Player,Pos,Date,TM,OPP,H/A,W/L,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1314,Jeff Green,F,2018-11-20,WAS,LAC,H,W,0,26,8,11,0.727,5,5,1.0,3,6,0.5,1,1,1.0,1,6,7,3,1,1,0,1,20
1315,Blake Griffin,F,2018-11-30,DET,CHI,H,W,1,31,7,12,0.583,5,8,0.625,2,4,0.5,4,7,0.571,1,9,10,5,0,0,2,5,20
1316,Blake Griffin,F,2018-12-03,DET,OKC,H,L,1,30,7,18,0.389,4,10,0.4,3,8,0.375,3,4,0.75,1,4,5,4,2,1,1,0,20
1317,Blake Griffin,F,2018-11-07,DET,ORL,A,W,1,35,7,17,0.412,6,12,0.5,1,5,0.2,5,6,0.833,1,4,5,3,1,0,3,3,20
1318,Tim Hardaway,G,2018-12-12,NYK,CLE,A,L,1,43,6,18,0.333,2,9,0.222,4,9,0.444,4,4,1.0,1,4,5,1,1,1,1,3,20
1319,Tim Hardaway,G,2018-11-14,NYK,OKC,A,L,1,25,6,12,0.5,3,4,0.75,3,8,0.375,5,7,0.714,0,3,3,1,0,1,2,1,20
1320,Tim Hardaway,G,2018-12-03,NYK,WAS,H,L,1,30,7,15,0.467,3,6,0.5,4,9,0.444,2,3,0.667,0,0,0,2,0,0,0,2,20
1321,Montrezl Harrell,F-C,2018-11-20,LAC,WAS,A,L,0,31,9,13,0.692,9,13,0.692,0,0,,2,2,1.0,4,5,9,2,0,1,1,5,20
1322,Devin Harris,G,2018-11-28,DAL,HOU,A,W,0,15,6,8,0.75,1,2,0.5,5,6,0.833,3,3,1.0,0,1,1,4,0,2,0,2,20
1323,Gary Harris,G,2018-10-17,DEN,LAC,A,W,1,34,6,16,0.375,6,13,0.462,0,3,0.0,8,8,1.0,3,0,3,2,0,0,0,3,20
1324,Gary Harris,G,2018-11-03,DEN,UTA,H,W,1,32,8,13,0.615,7,9,0.778,1,4,0.25,3,5,0.6,0,4,4,1,0,0,3,3,20
1325,Gary Harris,G,2018-11-07,DEN,MEM,A,L,1,33,6,16,0.375,3,10,0.3,3,6,0.5,5,6,0.833,1,1,2,2,0,0,3,1,20
1326,Tobias Harris,F,2018-11-10,LAC,MIL,H,W,1,37,8,16,0.5,6,11,0.545,2,5,0.4,2,2,1.0,0,11,11,1,2,1,4,1,20
1327,Tobias Harris,F,2018-12-08,LAC,MIA,H,L,1,36,8,19,0.421,6,11,0.545,2,8,0.25,2,2,1.0,0,6,6,1,2,0,2,4,20
1328,Shaquille Harrison,G,2018-12-08,CHI,BOS,H,L,0,29,8,15,0.533,5,10,0.5,3,5,0.6,1,2,0.5,0,1,1,1,0,1,1,0,20
1329,Josh Hart,G,2018-10-18,LAL,POR,A,L,0,27,8,12,0.667,5,7,0.714,3,5,0.6,1,3,0.333,0,4,4,1,3,2,2,5,20
1330,Josh Hart,G,2018-10-22,LAL,SAS,H,L,0,39,8,14,0.571,4,7,0.571,4,7,0.571,0,0,,0,10,10,1,2,0,1,2,20
1331,Juan Hernangomez,F,2018-11-17,DEN,NOP,A,L,1,35,7,12,0.583,3,6,0.5,4,6,0.667,2,2,1.0,3,8,11,2,0,1,4,3,20
1332,Buddy Hield,G,2018-12-08,SAC,IND,A,L,1,32,8,20,0.4,4,8,0.5,4,12,0.333,0,0,,2,2,4,0,0,0,1,3,20
1333,Buddy Hield,G,2018-12-12,SAC,MIN,H,W,1,26,7,13,0.538,2,5,0.4,5,8,0.625,1,2,0.5,1,1,2,3,0,1,1,3,20
1334,Buddy Hield,G,2018-12-04,SAC,PHO,A,W,1,18,7,13,0.538,4,8,0.5,3,5,0.6,3,4,0.75,2,3,5,1,1,0,1,1,20
1335,Jrue Holiday,G,2018-12-12,NOP,OKC,H,W,1,34,8,21,0.381,7,15,0.467,1,6,0.167,3,4,0.75,2,3,5,10,2,0,4,3,20
1336,Jrue Holiday,G,2018-12-07,NOP,MEM,H,L,1,39,7,15,0.467,7,13,0.538,0,2,0.0,6,7,0.857,2,3,5,11,0,1,3,2,20
1337,Justin Holiday,F,2018-11-16,CHI,MIL,A,L,1,29,7,12,0.583,1,3,0.333,6,9,0.667,0,0,,1,2,3,4,3,0,1,3,20
1338,Justin Holiday,F,2018-12-07,CHI,OKC,H,W,1,36,8,12,0.667,4,6,0.667,4,6,0.667,0,0,,0,6,6,0,3,0,1,3,20
1339,Rondae Hollis-Jefferson,F,2018-12-08,BRK,NYK,A,W,1,32,7,14,0.5,5,12,0.417,2,2,1.0,4,7,0.571,0,6,6,2,2,1,1,3,20
1340,Rodney Hood,G-F,2018-11-10,CLE,CHI,A,L,1,29,7,15,0.467,5,11,0.455,2,4,0.5,4,4,1.0,0,2,2,2,0,0,0,1,20
1341,Rodney Hood,G-F,2018-11-26,CLE,MIN,H,L,1,35,8,16,0.5,6,9,0.667,2,7,0.286,2,3,0.667,1,1,2,3,1,0,3,2,20
1342,Al Horford,C-F,2018-11-26,BOS,NOP,A,W,1,32,8,15,0.533,5,11,0.455,3,4,0.75,1,1,1.0,1,3,4,3,3,1,1,3,20
1343,Dwight Howard,C,2018-11-02,WAS,OKC,H,L,1,23,7,8,0.875,7,8,0.875,0,0,,6,8,0.75,2,1,3,1,2,0,1,4,20
1344,Serge Ibaka,F-C,2018-11-29,TOR,GSW,H,W,1,37,8,13,0.615,7,10,0.7,1,3,0.333,3,4,0.75,1,3,4,1,0,1,3,4,20
1345,Serge Ibaka,F-C,2018-12-12,TOR,GSW,A,W,1,29,7,16,0.438,7,13,0.538,0,3,0.0,6,6,1.0,2,10,12,1,1,2,1,0,20
1346,Joe Ingles,F-G,2018-12-19,UTA,GSW,H,W,1,35,7,13,0.538,3,4,0.75,4,9,0.444,2,2,1.0,0,3,3,3,2,0,1,2,20
1347,Brandon Ingram,F,2018-11-07,LAL,MIN,H,W,1,35,8,14,0.571,6,11,0.545,2,3,0.667,2,2,1.0,1,4,5,6,1,2,3,2,20
1348,Kyrie Irving,G,2018-11-17,BOS,UTA,H,L,1,30,8,16,0.5,7,14,0.5,1,2,0.5,3,5,0.6,2,6,8,1,2,0,1,5,20
1349,Jaren Jackson,F,2018-11-07,MEM,DEN,H,W,1,33,7,15,0.467,5,10,0.5,2,5,0.4,4,6,0.667,3,4,7,0,3,3,3,2,20
1350,Jaren Jackson,F,2018-11-23,MEM,LAC,A,L,1,35,8,15,0.533,7,12,0.583,1,3,0.333,3,5,0.6,1,6,7,3,0,3,3,4,20
1351,Reggie Jackson,G,2018-11-30,DET,CHI,H,W,1,27,7,12,0.583,1,4,0.25,6,8,0.75,0,0,,0,0,0,2,1,0,1,0,20
1352,LeBron James,F-G,2018-12-08,LAL,MEM,A,W,1,32,9,18,0.5,9,15,0.6,0,3,0.0,2,3,0.667,1,7,8,9,2,0,5,2,20
1353,Jonas Jerebko,F,2018-11-29,GSW,TOR,A,L,0,33,8,13,0.615,5,8,0.625,3,5,0.6,1,1,1.0,3,6,9,3,1,1,3,5,20
1354,Stanley Johnson,F,2018-12-17,DET,MIL,H,L,0,25,8,14,0.571,4,7,0.571,4,7,0.571,0,0,,0,6,6,2,0,1,1,4,20
1355,Nikola Jokic,C-F,2018-11-19,DEN,MIL,A,L,1,33,8,18,0.444,5,10,0.5,3,8,0.375,1,1,1.0,3,2,5,5,1,0,3,1,20
1356,Nikola Jokic,C-F,2018-11-11,DEN,MIL,H,L,1,29,7,14,0.5,3,6,0.5,4,8,0.5,2,2,1.0,1,5,6,6,1,1,3,1,20
1357,Enes Kanter,C,2018-12-12,NYK,CLE,A,L,1,33,8,12,0.667,7,11,0.636,1,1,1.0,3,3,1.0,3,7,10,3,0,0,1,2,20
1358,Enes Kanter,C,2018-12-16,NYK,IND,A,L,1,36,7,11,0.636,6,10,0.6,1,1,1.0,5,5,1.0,5,10,15,0,0,0,5,3,20
1359,Kevin Knox,F,2018-12-14,NYK,CHO,A,W,1,42,7,15,0.467,4,9,0.444,3,6,0.5,3,6,0.5,0,3,3,3,1,1,0,4,20
1360,Kyle Kuzma,F,2018-12-08,LAL,MEM,A,W,1,34,8,16,0.5,4,8,0.5,4,8,0.5,0,0,,3,6,9,6,1,2,1,2,20
1361,Kyle Kuzma,F,2018-12-16,LAL,WAS,A,L,1,29,9,15,0.6,9,11,0.818,0,4,0.0,2,2,1.0,2,4,6,3,1,1,6,4,20
1362,Jeremy Lamb,G-F,2018-11-17,CHO,PHI,H,L,1,40,6,18,0.333,5,12,0.417,1,6,0.167,7,7,1.0,3,7,10,3,1,0,1,4,20
1363,Zach LaVine,G,2018-10-26,CHI,CHO,A,L,1,26,6,16,0.375,2,8,0.25,4,8,0.5,4,6,0.667,0,3,3,4,0,0,2,2,20
1364,Zach LaVine,G,2018-11-02,CHI,IND,H,L,1,35,7,21,0.333,5,14,0.357,2,7,0.286,4,4,1.0,0,6,6,5,1,1,4,5,20
1365,Kawhi Leonard,F,2018-11-12,TOR,NOP,H,L,1,34,7,20,0.35,6,14,0.429,1,6,0.167,5,5,1.0,2,4,6,2,1,1,1,2,20
1366,Kawhi Leonard,F,2018-12-09,TOR,MIL,H,L,1,37,8,18,0.444,7,13,0.538,1,5,0.2,3,3,1.0,3,5,8,4,2,2,1,0,20
1367,Caris LeVert,G-F,2018-11-04,BRK,PHI,H,W,1,29,8,20,0.4,7,17,0.412,1,3,0.333,3,4,0.75,3,2,5,2,4,0,2,1,20
1368,Brook Lopez,C,2018-11-10,MIL,LAC,A,L,1,37,6,12,0.5,0,0,,6,12,0.5,2,2,1.0,0,4,4,2,2,3,0,1,20
1369,Kyle Lowry,G,2018-10-26,TOR,DAL,H,W,1,36,8,14,0.571,5,8,0.625,3,6,0.5,1,2,0.5,0,4,4,12,0,1,0,2,20
1370,Kyle Lowry,G,2018-10-30,TOR,PHI,H,W,1,37,7,14,0.5,4,7,0.571,3,7,0.429,3,4,0.75,0,3,3,12,1,0,5,3,20
1371,Wesley Matthews,G,2018-10-22,DAL,CHI,H,W,1,32,6,15,0.4,2,4,0.5,4,11,0.364,4,4,1.0,0,2,2,4,2,0,1,0,20
1372,JaVale McGee,C,2018-10-24,LAL,PHO,A,W,1,26,8,13,0.615,7,11,0.636,1,2,0.5,3,6,0.5,2,4,6,2,1,4,0,2,20
1373,JaVale McGee,C,2018-11-14,LAL,POR,H,W,1,24,9,12,0.75,9,12,0.75,0,0,,2,2,1.0,2,2,4,0,2,2,1,3,20
1374,Rodney McGruder,G,2018-10-18,MIA,WAS,A,W,1,34,7,12,0.583,4,5,0.8,3,7,0.429,3,3,1.0,1,7,8,6,0,1,2,5,20
1375,Darius Miller,F,2018-12-19,NOP,MIL,A,L,1,37,7,15,0.467,1,4,0.25,6,11,0.545,0,0,,0,2,2,2,1,0,2,4,20
1376,Patty Mills,G,2018-11-07,SAS,MIA,A,L,0,28,8,22,0.364,4,10,0.4,4,12,0.333,0,0,,1,3,4,0,0,0,2,0,20
1377,Paul Millsap,F,2018-11-27,DEN,LAL,H,W,1,23,9,14,0.643,9,13,0.692,0,1,0.0,2,2,1.0,5,6,11,2,1,2,1,1,20
1378,Nikola Mirotic,F,2018-11-17,NOP,DEN,H,W,1,34,6,12,0.5,3,5,0.6,3,7,0.429,5,5,1.0,0,10,10,2,0,3,1,2,20
1379,Donovan Mitchell,G,2018-10-28,UTA,DAL,A,W,1,35,10,19,0.526,10,16,0.625,0,3,0.0,0,0,,1,0,1,4,1,1,5,5,20
1380,Donovan Mitchell,G,2018-12-04,UTA,SAS,H,W,1,25,7,13,0.538,3,7,0.429,4,6,0.667,2,2,1.0,1,0,1,2,2,0,1,3,20
1381,Malik Monk,G,2018-10-30,CHO,MIA,H,W,0,24,7,10,0.7,3,4,0.75,4,6,0.667,2,2,1.0,0,2,2,1,0,0,1,4,20
1382,Marcus Morris,F,2018-12-14,BOS,ATL,H,W,1,25,7,12,0.583,1,4,0.25,6,8,0.75,0,0,,1,5,6,1,1,1,0,0,20
1383,Markieff Morris,F,2018-12-01,WAS,BRK,H,W,0,29,9,12,0.75,7,8,0.875,2,4,0.5,0,0,,0,7,7,2,3,2,2,3,20
1384,Monte Morris,G,2018-12-10,DEN,MEM,H,W,0,28,8,12,0.667,4,7,0.571,4,5,0.8,0,0,,0,6,6,5,1,0,1,1,20
1385,Monte Morris,G,2018-10-25,DEN,LAL,A,L,0,27,6,9,0.667,4,7,0.571,2,2,1.0,6,6,1.0,1,2,3,7,3,0,0,0,20
1386,Jamal Murray,G,2018-11-27,DEN,LAL,H,W,1,34,8,18,0.444,6,13,0.462,2,5,0.4,2,2,1.0,0,3,3,4,0,0,3,1,20
1387,Jamal Murray,G,2018-12-07,DEN,CHO,A,L,1,37,8,20,0.4,8,16,0.5,0,4,0.0,4,5,0.8,2,3,5,7,2,0,1,4,20
1388,Nerlens Noel,C-F,2018-10-28,OKC,PHO,H,W,1,26,9,14,0.643,9,14,0.643,0,0,,2,3,0.667,6,9,15,2,4,1,1,3,20
1389,Jusuf Nurkic,C,2018-12-17,POR,LAC,A,W,1,29,8,12,0.667,8,12,0.667,0,0,,4,6,0.667,1,2,3,7,2,1,2,5,20
1390,Jusuf Nurkic,C,2018-11-01,POR,NOP,H,W,1,28,7,9,0.778,6,8,0.75,1,1,1.0,5,6,0.833,4,5,9,2,0,0,2,4,20
1391,Victor Oladipo,G,2018-12-19,IND,TOR,A,L,1,36,9,19,0.474,9,17,0.529,0,2,0.0,2,3,0.667,0,2,2,4,0,0,6,0,20
1392,Victor Oladipo,G,2018-10-22,IND,MIN,A,L,1,34,8,23,0.348,6,16,0.375,2,7,0.286,2,4,0.5,1,6,7,3,0,1,3,1,20
1393,Kelly Olynyk,C-F,2018-11-09,MIA,IND,H,L,0,21,6,8,0.75,3,3,1.0,3,5,0.6,5,7,0.714,0,4,4,2,0,0,1,1,20
1394,Cedi Osman,F,2018-10-30,CLE,ATL,H,W,1,34,5,11,0.455,2,6,0.333,3,5,0.6,7,9,0.778,1,4,5,3,1,0,5,1,20
1395,Cedi Osman,F,2018-11-23,CLE,PHI,A,W,1,42,7,14,0.5,5,8,0.625,2,6,0.333,4,5,0.8,0,8,8,2,0,0,1,4,20
1396,Kelly Oubre,F,2018-12-12,WAS,BOS,H,L,0,38,7,15,0.467,4,7,0.571,3,8,0.375,3,4,0.75,2,0,2,0,1,1,2,4,20
1397,Jabari Parker,F,2018-11-21,CHI,PHO,H,W,1,40,6,10,0.6,6,9,0.667,0,1,0.0,8,10,0.8,2,11,13,8,2,0,3,2,20
1398,Jabari Parker,F,2018-11-07,CHI,NOP,A,L,1,36,7,14,0.5,7,11,0.636,0,3,0.0,6,8,0.75,0,13,13,3,0,0,2,3,20
1399,Jabari Parker,F,2018-10-22,CHI,DAL,A,L,0,24,8,14,0.571,6,11,0.545,2,3,0.667,2,3,0.667,2,1,3,1,1,0,1,2,20
1400,Tony Parker,G,2018-11-30,CHO,UTA,H,L,0,33,9,17,0.529,9,15,0.6,0,2,0.0,2,3,0.667,0,1,1,9,1,0,1,1,20
1401,Chris Paul,G,2018-11-23,HOU,DET,A,L,1,37,7,16,0.438,5,10,0.5,2,6,0.333,4,4,1.0,1,3,4,9,0,0,2,5,20
1402,Chris Paul,G,2018-11-21,HOU,DET,H,W,1,35,8,16,0.5,7,10,0.7,1,6,0.167,3,4,0.75,0,2,2,7,1,0,3,3,20
1403,Elfrid Payton,G,2018-10-23,NOP,LAC,H,W,1,36,7,11,0.636,6,10,0.6,1,1,1.0,5,7,0.714,2,5,7,6,3,0,2,4,20
1404,Jakob Poeltl,C,2018-12-04,SAS,UTA,A,L,0,19,9,11,0.818,9,11,0.818,0,0,,2,2,1.0,2,5,7,1,0,1,1,1,20
1405,Otto Porter,F,2018-12-05,WAS,ATL,A,W,1,43,9,19,0.474,7,10,0.7,2,9,0.222,0,0,,5,6,11,5,1,0,6,1,20
1406,Bobby Portis,F,2018-10-18,CHI,PHI,A,L,1,33,8,15,0.533,5,9,0.556,3,6,0.5,1,2,0.5,2,9,11,2,1,1,0,4,20
1407,Julius Randle,F-C,2018-12-10,NOP,BOS,A,L,1,28,7,13,0.538,7,13,0.538,0,0,,6,8,0.75,2,9,11,4,0,0,5,4,20
1408,J.J. Redick,G,2018-11-10,PHI,MEM,A,L,1,34,8,12,0.667,5,6,0.833,3,6,0.5,1,1,1.0,0,0,0,1,0,0,2,2,20
1409,Josh Richardson,G,2018-11-30,MIA,NOP,H,W,1,36,8,22,0.364,5,12,0.417,3,10,0.3,1,2,0.5,0,2,2,1,3,1,2,3,20
1410,Derrick Rose,G,2018-11-21,MIN,DEN,H,L,0,29,6,11,0.545,4,5,0.8,2,6,0.333,6,6,1.0,2,2,4,4,1,0,1,0,20
1411,Derrick Rose,G,2018-12-12,MIN,SAC,A,L,0,22,8,13,0.615,7,11,0.636,1,2,0.5,3,4,0.75,0,1,1,4,0,0,1,2,20
1412,Ricky Rubio,G,2018-11-17,UTA,BOS,A,W,1,28,6,13,0.462,4,9,0.444,2,4,0.5,6,7,0.857,0,4,4,2,3,0,1,2,20
1413,D'Angelo Russell,G,2018-11-20,BRK,MIA,A,W,1,32,9,22,0.409,7,14,0.5,2,8,0.25,0,0,,0,9,9,6,4,1,3,1,20
1414,Domantas Sabonis,F-C,2018-11-29,IND,LAL,A,L,0,29,6,13,0.462,5,12,0.417,1,1,1.0,7,8,0.875,3,12,15,3,0,1,2,3,20
1415,Dennis Schroder,G,2018-11-12,OKC,PHO,H,W,1,36,6,19,0.316,4,17,0.235,2,2,1.0,6,6,1.0,0,5,5,9,4,0,1,2,20
1416,Collin Sexton,G,2018-11-10,CLE,CHI,A,L,1,34,8,16,0.5,6,13,0.462,2,3,0.667,2,2,1.0,1,3,4,3,0,0,1,2,20
1417,Ben Simmons,G-F,2018-11-04,PHI,BRK,A,L,1,27,8,11,0.727,8,11,0.727,0,0,,4,9,0.444,3,9,12,3,4,0,5,0,20
1418,Jayson Tatum,F,2018-11-26,BOS,NOP,A,W,1,35,7,14,0.5,5,10,0.5,2,4,0.5,4,4,1.0,2,5,7,1,3,1,1,3,20
1419,Jayson Tatum,F,2018-12-21,BOS,MIL,H,L,1,32,5,15,0.333,2,8,0.25,3,7,0.429,7,8,0.875,0,5,5,2,2,1,2,4,20
1420,Jayson Tatum,F,2018-11-19,BOS,CHO,A,L,1,30,8,15,0.533,7,11,0.636,1,4,0.25,3,6,0.5,1,5,6,2,1,1,0,1,20
1421,Garrett Temple,G,2018-10-30,MEM,WAS,H,W,1,36,5,13,0.385,1,6,0.167,4,7,0.571,6,6,1.0,1,6,7,1,0,0,3,0,20
1422,Klay Thompson,G-F,2018-12-07,GSW,MIL,A,W,1,35,8,16,0.5,4,7,0.571,4,9,0.444,0,0,,0,5,5,6,4,2,3,2,20
1423,Karl-Anthony Towns,C-F,2018-12-01,MIN,BOS,H,L,1,38,6,15,0.4,4,9,0.444,2,6,0.333,6,6,1.0,2,7,9,1,1,1,2,4,20
1424,Karl-Anthony Towns,C-F,2018-11-05,MIN,LAC,A,L,1,36,8,13,0.615,7,10,0.7,1,3,0.333,3,3,1.0,3,9,12,2,3,4,3,3,20
1425,Nikola Vucevic,C,2018-11-28,ORL,POR,A,L,1,29,8,12,0.667,6,10,0.6,2,2,1.0,2,2,1.0,0,8,8,7,0,2,1,6,20
1426,Russell Westbrook,G,2018-12-12,OKC,NOP,A,L,1,38,8,16,0.5,6,9,0.667,2,7,0.286,2,5,0.4,1,5,6,7,4,2,7,2,20
1427,Andrew Wiggins,F-G,2018-12-10,MIN,GSW,A,L,1,36,6,15,0.4,3,9,0.333,3,6,0.5,5,6,0.833,1,4,5,0,1,0,1,3,20
1428,Andrew Wiggins,F-G,2018-10-17,MIN,SAS,A,L,1,37,8,18,0.444,6,12,0.5,2,6,0.333,2,2,1.0,0,6,6,3,1,0,2,3,20
1429,Andrew Wiggins,F-G,2018-12-08,MIN,POR,A,L,1,33,8,18,0.444,8,15,0.533,0,3,0.0,4,6,0.667,1,5,6,2,1,1,2,1,20
1430,Lou Williams,G,2018-11-08,LAC,POR,A,L,0,36,8,22,0.364,8,18,0.444,0,4,0.0,4,4,1.0,2,1,3,7,0,0,2,1,20
1431,Lou Williams,G,2018-11-05,LAC,MIN,H,W,0,27,7,17,0.412,6,13,0.462,1,4,0.25,5,5,1.0,0,0,0,6,0,1,1,1,20
1432,Lou Williams,G,2018-12-03,LAC,NOP,A,W,0,24,7,12,0.583,6,11,0.545,1,1,1.0,5,5,1.0,1,2,3,6,0,0,2,1,20
1433,Lou Williams,G,2018-11-28,LAC,PHO,H,W,0,22,6,14,0.429,4,11,0.364,2,3,0.667,6,7,0.857,2,2,4,3,2,0,4,1,20
1434,Marvin Williams,F,2018-12-14,CHO,NYK,H,L,1,37,7,12,0.583,3,5,0.6,4,7,0.571,2,2,1.0,0,5,5,1,1,1,0,5,20
1435,Marvin Williams,F,2018-11-06,CHO,ATL,H,W,1,27,8,14,0.571,5,8,0.625,3,6,0.5,1,2,0.5,0,8,8,1,1,0,2,3,20
1436,Marvin Williams,F,2018-11-25,CHO,ATL,A,L,1,36,7,14,0.5,3,5,0.6,4,9,0.444,2,2,1.0,3,10,13,1,0,0,0,2,20
1437,Justise Winslow,F,2018-12-07,MIA,PHO,A,W,0,31,7,8,0.875,3,4,0.75,4,4,1.0,2,3,0.667,1,7,8,6,1,1,4,2,20
1438,Thaddeus Young,F,2018-12-08,IND,SAC,H,W,1,38,7,13,0.538,6,9,0.667,1,4,0.25,5,6,0.833,2,7,9,0,0,1,4,0,20
1439,Trae Young,G,2018-12-03,ATL,GSW,H,L,1,25,8,20,0.4,8,15,0.533,0,5,0.0,4,6,0.667,0,0,0,3,0,0,7,1,20
1440,Trae Young,G,2018-11-11,ATL,LAL,A,L,1,35,8,18,0.444,4,10,0.4,4,8,0.5,0,0,,1,1,2,12,1,1,4,2,20
1441,Trae Young,G,2018-10-19,ATL,MEM,A,L,1,33,7,18,0.389,3,9,0.333,4,9,0.444,2,3,0.667,1,1,2,9,1,1,3,2,20
1442,Steven Adams,C,2018-11-14,OKC,NYK,H,W,1,30,9,13,0.692,9,13,0.692,0,0,,1,2,0.5,2,4,6,5,2,0,2,1,19
1443,Steven Adams,C,2018-11-08,OKC,HOU,H,W,1,32,7,12,0.583,7,12,0.583,0,0,,5,9,0.556,6,4,10,4,1,0,1,2,19
1444,Steven Adams,C,2018-12-17,OKC,CHI,H,W,1,31,8,14,0.571,8,14,0.571,0,0,,3,6,0.5,5,3,8,1,2,0,2,2,19
1445,LaMarcus Aldridge,F-C,2018-11-21,SAS,MEM,H,L,1,41,6,20,0.3,6,19,0.316,0,1,0.0,7,9,0.778,6,5,11,4,0,1,0,4,19
1446,Kyle Anderson,F-G,2018-12-07,MEM,NOP,A,W,1,33,8,12,0.667,7,11,0.636,1,1,1.0,2,4,0.5,2,9,11,4,3,3,0,2,19
1447,Giannis Antetokounmpo,F-G,2018-12-09,MIL,TOR,A,W,1,37,8,15,0.533,7,12,0.583,1,3,0.333,2,3,0.667,5,14,19,6,0,1,2,3,19
1448,Trevor Ariza,F,2018-12-18,WAS,ATL,A,L,1,38,6,17,0.353,2,6,0.333,4,11,0.364,3,3,1.0,1,7,8,4,6,0,1,2,19
1449,Deandre Ayton,C,2018-11-30,PHO,ORL,H,L,1,32,9,16,0.563,9,16,0.563,0,0,,1,2,0.5,2,4,6,2,0,0,1,2,19
1450,Marvin Bagley,F,2018-10-19,SAC,NOP,A,L,0,33,7,10,0.7,7,7,1.0,0,3,0.0,5,6,0.833,2,6,8,3,3,1,1,5,19
1451,J.J. Barea,G,2018-12-20,DAL,LAC,A,L,0,27,8,15,0.533,7,12,0.583,1,3,0.333,2,2,1.0,1,2,3,8,0,0,3,1,19
1452,Harrison Barnes,F,2018-12-10,DAL,ORL,H,W,1,28,7,15,0.467,2,5,0.4,5,10,0.5,0,0,,1,4,5,0,0,0,2,1,19
1453,Harrison Barnes,F,2018-11-14,DAL,UTA,H,W,1,26,6,11,0.545,3,6,0.5,3,5,0.6,4,4,1.0,0,4,4,2,0,0,0,1,19
1454,Harrison Barnes,F,2018-10-31,DAL,LAL,A,L,1,28,6,16,0.375,2,10,0.2,4,6,0.667,3,4,0.75,1,3,4,0,0,1,1,2,19
1455,Harrison Barnes,F,2018-11-06,DAL,WAS,H,W,1,31,6,13,0.462,4,8,0.5,2,5,0.4,5,5,1.0,3,10,13,3,2,0,2,4,19
1456,Will Barton,G,2018-10-17,DEN,LAC,A,W,1,35,6,12,0.5,3,7,0.429,3,5,0.6,4,4,1.0,0,5,5,2,0,2,2,2,19
1457,Bradley Beal,G,2018-11-30,WAS,PHI,A,L,1,19,6,13,0.462,4,8,0.5,2,5,0.4,5,5,1.0,0,0,0,1,2,0,1,3,19
1458,Bradley Beal,G,2018-11-06,WAS,DAL,A,L,1,37,7,18,0.389,6,9,0.667,1,9,0.111,4,4,1.0,0,6,6,4,1,2,2,3,19
1459,Malik Beasley,G,2018-12-08,DEN,ATL,A,L,0,23,7,16,0.438,4,7,0.571,3,9,0.333,2,2,1.0,0,1,1,0,2,0,0,0,19
1460,Davis Bertans,F,2018-11-07,SAS,MIA,A,L,0,26,6,10,0.6,2,3,0.667,4,7,0.571,3,3,1.0,1,3,4,1,1,1,0,3,19
1461,Nemanja Bjelica,F,2018-10-29,SAC,MIA,A,W,1,33,7,15,0.467,4,8,0.5,3,7,0.429,2,4,0.5,3,2,5,5,1,2,1,5,19
1462,Nemanja Bjelica,F,2018-11-01,SAC,ATL,A,W,1,24,7,11,0.636,4,6,0.667,3,5,0.6,2,2,1.0,0,2,2,3,2,0,3,5,19
1463,Bojan Bogdanovic,G-F,2018-10-17,IND,MEM,H,W,1,27,7,9,0.778,4,6,0.667,3,3,1.0,2,2,1.0,0,6,6,0,0,0,3,0,19
1464,Devin Booker,G,2018-11-12,PHO,OKC,A,L,1,37,7,18,0.389,6,14,0.429,1,4,0.25,4,4,1.0,2,2,4,6,0,0,3,3,19
1465,Mikal Bridges,G,2018-12-10,PHO,LAC,H,L,1,39,6,12,0.5,2,4,0.5,4,8,0.5,3,3,1.0,0,3,3,3,0,0,1,2,19
1466,Jaylen Brown,F-G,2018-10-27,BOS,DET,A,W,1,25,6,13,0.462,3,6,0.5,3,7,0.429,4,6,0.667,0,2,2,1,1,1,2,4,19
1467,Jaylen Brown,F-G,2018-12-10,BOS,NOP,H,W,0,25,6,16,0.375,2,9,0.222,4,7,0.571,3,4,0.75,3,4,7,3,0,1,3,5,19
1468,Trey Burke,G,2018-11-20,NYK,POR,H,L,0,26,8,15,0.533,5,10,0.5,3,5,0.6,0,0,,1,2,3,3,0,0,2,1,19
1469,Trey Burke,G,2018-10-22,NYK,MIL,A,L,1,22,9,18,0.5,9,15,0.6,0,3,0.0,1,1,1.0,3,2,5,4,1,0,3,1,19
1470,Jimmy Butler,F-G,2018-12-16,PHI,CLE,A,W,1,25,6,10,0.6,3,6,0.5,3,4,0.75,4,5,0.8,0,2,2,2,1,1,0,1,19
1471,Kentavious Caldwell-Pope,G,2018-11-18,LAL,MIA,A,W,0,28,4,11,0.364,1,6,0.167,3,5,0.6,8,8,1.0,2,2,4,0,1,1,1,2,19
1472,Isaiah Canaan,G,2018-11-14,PHO,SAS,H,W,1,32,7,8,0.875,2,3,0.667,5,5,1.0,0,0,,0,4,4,1,1,0,2,3,19
1473,Isaiah Canaan,G,2018-11-02,PHO,TOR,H,L,1,32,8,12,0.667,6,8,0.75,2,4,0.5,1,1,1.0,0,1,1,2,0,0,1,3,19
1474,Clint Capela,C,2018-10-20,HOU,LAL,A,W,1,34,9,16,0.563,9,16,0.563,0,0,,1,3,0.333,2,10,12,0,0,1,2,3,19
