,01-11-2018:teams_800.csv,02-11-2018:teams_800.csv,02-11-2018:teams_1000.csv,03-11-2018:teams_800.csv,03-11-2018:teams_900.csv,04-11-2018:teams_700.csv,04-11-2018:teams_900.csv,05-11-2018:teams_730.csv,05-11-2018:teams_900.csv,05-11-2018:teams_1030.csv,06-11-2018:teams_900.csv,07-11-2018:teams_800.csv,07-11-2018:teams_1000.csv,08-11-2018:teams_1000.csv,09-11-2018:teams_800.csv,09-11-2018:teams_930.csv,21-11-2018:teams_900.csv,23-11-2018:teams_1200.csv,23-11-2018:teams_1030.csv,24-11-2018:teams_800.csv,24-11-2018:teams_830.csv,25-11-2018:teams_330.csv,25-11-2018:teams_800.csv,26-11-2018:teams_800.csv,26-11-2018:teams_900.csv,27-11-2018:teams_730.csv,27-11-2018:teams_900.csv,28-11-2018:teams_1000.csv,29-11-2018:teams_800.csv,29-11-2018:teams_1030.csv,01-12-2018:teams_800.csv,03-12-2018:teams_800.csv,04-12-2018:teams_730.csv,04-12-2018:teams_900.csv,06-12-2018:teams_800.csv,06-12-2018:teams_1000.csv,07-12-2018:teams_800.csv,07-12-2018:teams_900.csv,08-12-2018:teams_800.csv,08-12-2018:teams_1000.csv,09-12-2018:teams_700.csv
264,0.0,198.25,148.0,0.0,221.25,178.75,164.0,38.25,244.75,152.0,149.75,271.5,226.5,0.0,173.5,263.5,202.0,273.75,117.0,279.5,285.5,169.25,204.5,0.0,169.25,228.5,176.75,194.25,213.75,209.75,244.0,0.0,252.25,177.25,202.0,164.5,137.5,55.75,196.5,231.75,0.0
265,0.0,226.75,176.5,0.0,183.75,179.5,176.0,38.25,238.25,183.75,171.5,226.75,229.0,0.0,191.0,278.25,209.25,142.0,130.5,289.25,244.5,222.0,174.5,0.0,210.5,220.0,230.75,261.75,240.75,243.25,205.0,0.0,236.75,154.0,177.0,147.0,190.5,55.75,165.0,256.0,0.0
266,0.0,214.75,146.25,0.0,216.75,122.25,165.0,38.25,198.0,152.0,194.5,277.25,243.75,0.0,230.75,232.75,199.75,211.25,148.0,299.75,175.75,211.75,209.0,0.0,185.0,218.0,194.0,225.25,231.25,246.75,207.75,0.0,197.25,159.0,176.5,185.5,203.25,55.75,148.0,245.5,0.0
267,0.0,186.25,163.75,0.0,221.5,178.75,237.5,38.25,214.25,143.0,189.25,237.5,214.5,0.0,248.5,223.75,225.5,245.5,138.0,279.5,277.0,209.75,184.0,0.0,139.75,200.5,260.25,224.25,274.0,222.5,254.0,0.0,207.5,214.25,190.25,184.0,196.75,55.75,170.0,203.5,0.0
268,0.0,192.5,128.5,0.0,191.5,162.0,199.25,38.25,220.25,157.0,178.5,241.25,244.5,0.0,213.75,253.75,221.5,215.25,112.75,278.0,224.75,221.0,179.0,0.0,206.0,214.75,172.75,222.0,268.5,214.5,203.0,0.0,198.75,187.25,228.5,150.75,191.25,55.75,180.0,238.0,0.0
269,0.0,216.75,160.75,0.0,231.25,143.75,231.25,38.25,196.5,178.75,224.0,252.5,252.0,0.0,213.5,221.75,203.75,211.0,135.25,319.75,252.0,256.25,214.0,0.0,189.5,239.0,247.75,214.0,263.25,227.75,229.75,0.0,228.5,163.25,230.25,203.5,170.25,55.75,162.0,166.25,0.0
270,0.0,216.0,140.25,0.0,207.75,195.25,214.75,38.25,201.75,198.25,188.25,199.0,252.0,0.0,207.75,220.0,226.5,182.75,124.75,271.75,205.75,204.5,211.5,0.0,140.75,200.5,217.75,178.0,238.75,205.5,229.0,0.0,178.75,171.75,192.75,180.75,169.0,55.75,142.25,241.75,0.0
271,0.0,208.0,169.0,0.0,255.75,182.0,206.25,38.25,259.75,147.5,252.25,196.75,211.0,0.0,198.5,253.75,188.5,218.5,154.25,241.5,176.5,228.0,199.5,0.0,162.0,214.0,184.25,241.5,262.0,192.75,211.0,0.0,245.5,177.75,208.25,186.25,198.75,55.75,151.0,230.75,0.0
272,0.0,228.5,137.5,0.0,257.75,165.5,206.0,38.25,207.75,167.5,185.0,228.25,278.75,0.0,178.0,253.25,192.0,215.0,123.75,239.75,223.0,221.5,196.5,0.0,209.0,201.25,180.75,283.0,270.5,175.75,260.5,0.0,226.75,194.75,228.25,187.0,176.5,55.75,188.5,243.0,0.0
273,0.0,216.25,188.75,0.0,247.25,210.25,213.0,38.25,216.75,173.0,221.0,235.25,238.5,0.0,247.5,249.0,222.75,166.5,129.75,271.75,210.0,189.5,245.75,0.0,216.5,227.0,185.5,218.75,249.5,218.25,260.25,0.0,220.25,162.0,180.5,161.75,130.25,55.75,187.75,176.25,0.0
274,0.0,233.5,174.0,0.0,234.5,203.5,167.5,38.25,238.0,176.25,233.0,220.25,214.75,0.0,234.75,218.0,214.25,184.5,108.75,285.75,178.25,186.75,207.75,0.0,136.75,228.75,214.75,219.0,212.5,248.25,220.5,0.0,237.75,179.25,234.75,155.25,193.25,55.75,224.0,200.0,0.0
275,0.0,186.75,112.25,0.0,212.5,158.25,272.0,38.25,259.25,187.75,188.75,188.5,204.75,0.0,201.5,248.5,174.5,200.25,113.25,296.5,263.5,259.5,249.25,0.0,169.25,239.5,228.25,201.75,241.0,244.25,243.5,0.0,236.0,147.0,162.25,154.0,126.0,55.75,184.0,200.75,0.0
276,0.0,259.75,174.75,0.0,233.75,198.75,232.5,38.25,219.0,186.5,147.0,322.0,237.5,0.0,238.75,229.5,199.5,217.25,133.0,257.25,216.25,201.75,178.0,0.0,155.0,230.0,232.0,234.5,219.25,226.0,218.25,0.0,251.0,172.75,143.0,150.5,186.5,55.75,123.25,232.5,0.0
277,0.0,253.75,144.25,0.0,184.5,185.5,209.5,38.25,211.0,166.0,161.75,177.5,192.25,0.0,165.5,250.75,214.0,196.25,92.0,250.75,237.25,222.25,188.25,0.0,154.5,209.75,240.5,250.0,242.25,234.75,258.75,0.0,228.25,161.75,243.5,180.75,134.75,55.75,165.0,209.5,0.0
278,0.0,238.5,164.0,0.0,220.75,187.0,212.75,38.25,203.0,145.5,230.75,220.75,204.0,0.0,172.0,225.0,228.75,205.5,146.0,251.25,229.25,245.75,190.5,0.0,155.5,223.0,187.5,244.0,260.25,200.5,254.25,0.0,217.5,196.75,198.0,190.5,148.25,55.75,121.25,224.5,0.0
