,01-11-2018:teams_700.csv,06-11-2018:teams_700.csv,08-11-2018:teams_800.csv,21-11-2018:teams_800.csv,23-11-2018:teams_800.csv,24-11-2018:teams_730.csv,25-11-2018:teams_600.csv,27-11-2018:teams_700.csv,28-11-2018:teams_800.csv,01-12-2018:teams_700.csv,03-12-2018:teams_730.csv,04-12-2018:teams_700.csv,05-12-2018:teams_800.csv,09-12-2018:teams_600.csv
192,343.75,223.5,280.75,265.75,264.25,248.5,294.5,248.25,230.0,274.0,296.25,247.25,290.75,255.5
193,303.75,231.25,249.25,227.25,271.0,290.75,277.75,234.25,251.5,237.5,267.0,222.75,223.75,236.0
194,314.0,258.5,266.5,242.0,259.75,362.5,277.5,221.75,237.5,229.5,273.25,232.0,137.5,276.75
195,281.75,214.75,274.75,232.75,272.5,232.75,306.75,203.25,239.25,248.75,202.25,228.25,230.5,242.25
196,274.0,224.25,249.75,229.0,261.5,301.5,279.0,233.75,264.0,256.25,271.5,206.5,188.75,214.5
197,277.75,279.25,237.75,271.5,238.75,306.25,225.5,287.5,241.0,225.5,193.25,222.5,224.0,216.5
198,303.5,242.5,283.25,225.0,296.75,342.5,233.0,230.25,276.0,226.75,273.0,206.25,233.5,250.0
199,245.75,327.75,272.0,266.0,268.75,252.25,234.0,246.25,241.25,248.25,232.0,229.75,242.0,242.25
200,260.0,231.0,338.5,307.5,268.75,333.5,275.25,244.75,234.5,249.75,262.25,230.75,191.5,202.5
201,286.0,264.5,243.5,220.0,282.25,294.75,309.0,206.25,262.25,244.25,250.0,272.5,219.0,259.5
202,294.75,203.25,282.5,199.25,240.0,311.0,256.5,226.75,288.0,224.25,298.5,245.25,231.75,241.75
203,255.5,262.75,287.0,299.5,264.75,279.25,277.5,223.25,278.5,274.25,297.5,260.75,200.75,248.5
204,315.75,237.5,315.5,245.5,252.25,311.25,304.75,218.0,200.0,245.75,239.75,230.75,203.5,246.25
205,267.0,234.75,240.25,288.0,235.0,312.5,271.0,267.0,232.0,251.25,229.0,250.5,213.25,236.75
206,313.5,195.0,247.75,262.5,246.5,283.75,291.0,225.25,248.0,228.0,186.0,259.75,280.25,230.25
207,275.25,215.75,279.25,247.5,227.0,312.5,212.5,243.5,304.5,252.5,288.5,238.25,206.0,260.75
208,325.0,262.0,275.5,287.25,298.0,281.75,241.5,223.0,268.75,233.5,248.5,238.0,196.75,202.75
209,306.0,261.25,286.5,245.0,236.0,357.25,276.75,213.0,280.25,288.5,277.0,247.0,267.25,217.75
210,304.0,242.5,271.75,234.25,241.25,272.75,237.5,208.0,236.25,237.0,207.5,220.0,216.75,251.75
211,238.5,252.75,282.0,279.75,299.25,312.75,215.75,231.0,225.25,237.0,256.25,218.25,236.25,228.5
212,327.0,231.75,252.75,270.5,229.25,314.25,344.25,214.25,277.5,261.75,275.0,234.0,213.75,228.25
213,305.75,205.5,276.25,235.25,250.5,298.25,279.25,197.5,297.25,263.25,215.0,286.25,217.75,250.5
214,290.25,261.0,236.25,266.25,256.0,260.75,296.75,229.0,286.5,266.25,261.25,250.0,188.0,253.0
215,303.0,254.0,286.25,248.0,254.25,332.5,191.25,197.5,249.75,285.75,293.25,236.75,174.5,231.75
216,260.5,215.25,271.5,294.0,246.25,327.5,275.0,188.0,303.75,225.25,279.25,251.75,251.25,247.75
217,248.0,280.75,286.75,250.5,261.0,247.75,211.25,236.5,231.25,235.25,279.5,228.25,259.5,251.0
218,265.25,275.75,244.0,246.5,224.75,291.25,288.0,228.25,237.75,285.25,257.75,224.0,257.25,243.5
219,291.75,219.0,315.5,257.25,252.0,322.25,275.0,198.5,258.25,284.25,223.0,235.5,236.25,208.0
220,256.0,271.75,229.25,244.25,247.75,248.0,235.5,242.5,223.0,240.25,319.75,235.5,159.25,251.75
221,246.25,224.0,241.25,262.75,234.75,244.25,293.25,233.25,235.75,261.25,268.5,247.5,174.0,265.0
222,254.0,264.75,247.75,226.0,242.5,232.75,191.0,259.75,270.75,229.75,273.75,269.5,217.25,261.0
223,248.0,270.5,229.25,288.25,248.0,267.25,246.75,238.25,275.0,279.0,263.75,202.5,192.25,256.5
224,327.75,251.25,250.0,236.75,224.25,265.75,255.5,246.75,281.75,297.5,266.5,242.0,189.5,224.0
225,272.75,216.0,261.0,269.5,261.75,272.5,281.25,260.5,272.75,227.75,219.75,256.5,213.0,269.25
