,01-11-2018:teams_700.csv,06-11-2018:teams_700.csv,08-11-2018:teams_800.csv,21-11-2018:teams_800.csv,23-11-2018:teams_800.csv,24-11-2018:teams_730.csv,25-11-2018:teams_600.csv,27-11-2018:teams_700.csv,28-11-2018:teams_800.csv,01-12-2018:teams_700.csv,03-12-2018:teams_730.csv,04-12-2018:teams_700.csv,05-12-2018:teams_800.csv,09-12-2018:teams_600.csv
99,298.75,240.0,287.0,270.75,273.5,270.5,247.75,220.0,212.75,237.0,255.25,200.0,271.75,236.5
100,219.5,242.25,290.5,221.75,308.75,267.5,247.0,238.25,272.5,253.75,294.5,260.25,245.75,248.25
101,242.0,223.0,273.75,251.5,274.0,307.25,236.0,247.5,277.0,235.75,208.25,202.5,259.0,273.5
102,243.75,269.0,268.75,247.0,245.25,250.75,283.25,274.5,229.25,207.0,256.75,262.5,224.75,222.25
103,257.25,273.0,274.5,247.0,289.25,253.0,207.5,218.25,251.5,235.75,234.25,256.25,257.25,233.75
104,241.5,230.5,257.5,219.5,252.25,259.25,304.75,254.5,277.25,271.25,241.0,197.5,250.25,226.0
105,294.75,209.5,301.5,274.5,275.0,269.25,302.75,240.0,263.0,240.0,283.25,216.5,302.25,280.75
106,225.5,222.25,289.75,249.75,290.25,321.75,284.5,264.5,231.75,241.25,250.0,212.0,217.0,219.75
107,278.75,206.75,254.0,262.5,272.0,261.75,262.25,256.25,205.25,248.75,267.75,272.75,270.75,180.5
108,248.5,274.25,297.75,269.25,240.25,294.0,269.0,226.25,253.75,230.5,332.25,231.0,256.5,284.75
109,194.5,238.75,282.5,225.0,251.75,292.75,243.5,232.75,271.0,240.0,287.5,228.5,276.0,243.75
110,234.75,212.0,255.75,218.0,258.75,278.25,230.5,267.5,245.75,245.5,252.75,190.75,328.75,254.75
111,253.5,298.5,270.75,239.75,268.5,305.0,288.25,212.75,307.75,248.0,279.5,275.25,277.75,262.5
112,322.0,259.25,266.0,219.25,244.0,285.75,285.75,255.75,229.0,222.75,266.75,264.75,216.25,262.75
113,298.5,209.0,331.5,252.25,231.0,251.0,249.0,231.5,209.75,245.75,289.75,246.25,264.75,214.75
114,272.0,236.5,315.0,259.25,269.75,286.75,275.0,259.25,209.75,233.5,295.0,201.25,237.0,223.25
115,245.5,217.0,256.75,297.25,229.75,235.5,267.75,221.25,244.75,235.75,278.5,200.25,239.5,234.25
116,298.5,188.25,267.5,244.75,236.5,267.5,283.0,236.5,227.5,209.75,214.75,229.0,238.25,208.25
117,220.0,259.0,271.75,261.0,305.0,270.0,201.5,248.0,245.75,227.75,290.5,203.25,289.0,213.0
118,243.75,260.5,282.5,248.25,245.25,280.0,225.25,226.5,202.0,289.5,259.0,225.25,213.75,269.75
119,277.0,251.25,254.75,281.75,246.5,310.5,265.75,264.5,229.0,236.5,250.75,229.5,244.25,247.5
120,321.25,243.25,336.5,239.75,232.75,258.0,261.0,257.0,262.5,247.0,299.0,231.5,265.0,273.75
121,289.75,256.0,271.75,223.25,228.0,323.25,275.5,225.0,225.0,203.25,261.0,254.75,220.5,219.75
122,267.75,259.75,263.75,238.5,267.25,267.25,306.0,243.0,248.75,248.25,212.25,240.75,222.0,257.5
123,269.5,231.0,263.25,270.5,237.0,278.5,242.0,275.75,274.0,226.75,275.0,242.75,248.5,277.0
124,282.0,212.5,251.5,259.25,238.75,297.25,252.5,275.25,261.75,254.25,254.75,216.75,254.75,205.0
