,02-11-2018:teams_700.csv,03-11-2018:teams_700.csv,04-11-2018:teams_600.csv,05-11-2018:teams_700.csv,07-11-2018:teams_700.csv,09-11-2018:teams_700.csv,10-11-2018:teams_700.csv,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv,21-12-2018:teams_700.csv,03-12-2018:teams_700.csv,05-12-2018:teams_700.csv,07-12-2018:teams_700.csv,08-12-2018:teams_700.csv,01-11-2018:teams_700.csv,06-11-2018:teams_700.csv,08-11-2018:teams_800.csv,21-11-2018:teams_800.csv,23-11-2018:teams_800.csv,24-11-2018:teams_730.csv,25-11-2018:teams_600.csv,27-11-2018:teams_700.csv,28-11-2018:teams_800.csv,01-12-2018:teams_700.csv,03-12-2018:teams_730.csv,04-12-2018:teams_700.csv,05-12-2018:teams_800.csv,09-12-2018:teams_600.csv
162,302.25,296.5,186.0,282.0,218.0,266.25,265.5,252.0,235.75,261.75,247.75,283.25,266.25,328.25,242.25,293.0,289.0,227.0,293.25,257.75,260.75,299.25,299.5,258.0,221.25,247.25,292.75,205.5,242.25,217.0
163,276.75,295.5,194.5,260.5,257.0,276.0,250.5,273.25,250.5,267.0,241.25,280.75,291.5,345.0,266.75,255.25,252.0,254.5,285.5,267.25,237.5,293.75,294.25,217.75,243.75,232.25,270.5,207.5,259.5,229.0
164,291.5,296.5,174.25,279.5,252.5,247.5,273.5,282.75,242.25,281.25,214.5,274.75,271.0,285.75,251.75,219.5,253.0,251.25,284.0,291.5,264.25,328.5,280.0,228.0,266.75,234.0,270.75,211.5,271.5,256.5
165,268.25,317.0,204.25,270.5,243.0,278.5,251.0,259.25,240.0,275.0,244.5,305.5,285.75,344.25,248.25,222.25,254.0,245.0,261.0,224.75,257.5,284.75,271.75,219.0,219.0,226.25,265.5,214.25,279.0,278.75
166,255.75,296.0,221.0,258.25,237.5,267.5,264.25,300.25,214.5,303.0,224.0,286.0,271.5,312.5,240.75,273.75,290.25,237.5,301.5,257.0,261.5,280.75,354.75,239.0,267.0,243.5,254.0,221.0,264.25,237.5
167,282.25,288.0,174.75,313.25,240.75,261.25,252.25,277.5,259.0,280.25,234.5,284.5,259.75,311.0,270.5,304.5,250.25,242.0,328.5,244.75,246.5,279.0,246.0,228.5,196.75,235.5,279.0,209.5,305.25,237.25
168,302.25,298.0,186.25,252.5,257.0,275.5,242.5,284.25,219.25,266.5,219.25,266.5,275.75,344.25,263.0,272.75,285.0,200.25,265.25,252.75,244.0,308.0,250.0,258.5,194.5,223.25,271.25,204.75,273.0,256.0
169,292.0,302.5,173.0,277.75,263.75,266.5,247.0,269.75,215.5,279.0,234.75,291.25,301.75,342.75,188.0,239.0,295.5,218.25,306.0,256.75,221.5,257.5,327.5,259.25,256.75,243.75,297.75,221.5,297.0,232.5
170,301.5,257.0,191.25,272.0,262.75,279.75,258.25,277.25,235.25,305.25,237.5,312.25,278.5,353.75,259.0,264.5,321.5,217.0,310.5,260.75,243.25,304.0,269.75,237.25,254.75,237.0,260.0,216.25,262.0,206.0
171,267.0,291.25,208.75,273.0,261.75,275.5,252.5,266.5,221.0,282.5,217.0,298.5,274.75,324.25,259.75,255.0,253.0,212.5,295.25,245.5,255.0,292.0,297.0,254.5,229.5,248.25,240.5,207.5,281.5,243.0
172,266.5,253.5,174.75,281.0,245.5,289.5,262.25,288.75,225.75,289.0,255.75,306.75,274.75,344.25,268.0,244.5,313.0,239.75,310.25,244.5,239.5,306.75,296.75,280.0,241.0,223.0,281.0,206.5,280.0,204.75
173,291.5,280.75,182.25,283.25,251.25,231.5,251.75,287.75,226.25,309.5,231.5,264.0,279.5,317.25,260.75,269.75,325.0,266.0,303.25,278.25,265.5,302.75,272.25,271.5,232.5,232.75,280.25,221.0,266.25,245.5
174,282.25,303.0,220.75,281.25,223.25,276.75,240.75,259.75,288.75,289.0,218.5,281.25,269.0,342.25,241.5,230.0,322.5,254.25,317.75,279.5,255.75,299.5,241.25,236.0,240.25,234.75,254.25,208.75,270.75,257.0
175,270.25,253.25,197.25,263.5,242.75,279.0,266.75,283.5,230.0,279.0,244.5,282.5,251.0,350.0,264.0,260.75,303.0,236.25,323.5,229.25,253.75,313.0,292.75,239.5,233.5,246.0,259.25,240.0,308.0,219.5
176,282.25,289.0,168.25,235.0,263.5,265.0,231.0,283.5,228.5,276.25,283.0,270.25,267.5,292.0,224.0,294.5,301.0,236.5,308.25,250.0,250.75,278.25,293.25,273.25,267.75,227.0,302.5,255.75,298.5,250.0
177,294.75,283.75,171.75,319.0,231.5,281.75,261.75,281.25,234.49,303.75,246.75,301.75,270.75,332.75,220.0,252.0,308.0,216.25,301.75,212.5,223.5,286.75,249.75,252.25,228.25,236.25,245.25,219.0,254.0,226.5
178,281.25,249.25,169.25,272.25,260.0,263.75,236.75,251.25,216.25,280.75,201.75,296.25,273.75,334.0,259.5,251.0,296.75,216.5,303.75,230.25,248.25,331.0,270.5,256.25,193.75,214.75,294.25,230.0,309.5,229.25
179,265.25,287.5,176.75,280.0,240.5,213.25,209.75,261.75,243.0,279.25,260.75,267.5,301.75,318.25,263.75,247.5,265.0,254.25,281.0,236.5,255.5,262.75,291.5,254.5,188.5,216.25,292.75,216.0,294.25,221.0
180,290.25,263.25,167.0,253.25,259.25,262.0,215.75,274.75,256.0,272.25,211.25,263.75,272.5,335.5,251.75,278.0,316.0,254.75,278.25,242.25,243.5,328.75,276.5,262.0,236.0,232.75,235.5,217.5,326.0,270.5
181,274.25,257.5,167.75,258.0,272.25,255.25,275.5,267.25,230.25,262.5,268.25,271.75,241.5,314.25,264.25,254.0,288.0,259.25,267.25,247.0,253.5,308.5,289.75,252.75,286.25,235.75,281.75,202.25,331.25,247.25
182,296.75,284.25,157.0,285.0,217.5,288.25,257.0,296.5,204.25,272.5,268.0,270.25,253.25,329.5,274.0,272.0,284.25,238.25,311.25,228.25,253.0,276.25,268.25,223.5,274.25,237.25,262.75,250.75,278.75,206.25
183,228.25,273.0,189.5,251.75,275.5,254.5,246.0,276.0,281.25,251.5,256.5,282.0,252.0,344.0,251.0,266.5,320.0,255.75,304.25,262.0,237.25,301.25,322.5,233.0,278.25,220.25,251.5,227.75,277.25,289.0
184,241.25,282.0,180.5,243.75,232.0,247.5,246.5,267.25,253.5,288.25,250.5,271.0,273.5,308.5,207.0,268.25,311.0,244.0,304.0,263.25,252.25,329.75,266.5,250.0,265.0,229.0,261.0,212.25,263.5,258.0
185,280.0,243.25,188.75,253.5,240.25,268.5,226.5,281.5,272.25,277.0,222.0,303.75,282.25,327.25,290.75,238.5,298.75,237.0,265.25,262.5,266.25,308.25,319.75,216.75,226.5,214.0,265.5,231.5,312.5,232.5
186,278.0,277.75,160.0,242.25,289.25,278.0,216.75,295.75,213.5,281.0,224.75,286.0,262.75,348.25,236.0,264.75,240.0,251.75,262.75,250.25,249.5,325.75,308.5,266.5,207.0,229.5,302.5,194.25,277.5,251.25
187,287.5,306.25,177.5,277.75,261.0,253.25,274.25,295.0,287.5,270.5,221.5,278.0,267.25,309.5,270.5,273.75,286.5,253.0,269.75,255.75,243.0,264.75,311.75,236.0,206.25,225.0,291.25,212.5,280.25,243.25
188,288.5,275.0,200.75,263.0,218.5,265.0,258.5,322.0,214.5,311.25,253.25,311.75,256.5,337.0,253.5,253.75,257.75,241.5,277.25,263.75,253.75,313.5,277.25,243.75,239.75,233.5,270.0,229.5,224.25,247.25
189,274.75,281.0,173.5,241.25,269.25,251.25,252.0,252.0,221.25,275.5,251.5,285.75,262.25,291.0,214.25,259.5,312.75,213.25,313.25,243.0,271.0,313.25,271.25,262.75,247.25,231.75,283.25,207.5,279.25,247.25
190,264.0,265.5,198.0,277.0,236.75,269.25,252.5,291.5,226.75,257.0,198.0,282.75,283.5,340.25,227.0,224.0,317.75,212.75,285.75,270.0,240.0,293.0,291.0,249.5,253.25,229.75,226.0,203.0,295.25,233.5
191,277.0,266.5,186.0,259.25,246.25,260.5,257.0,283.75,253.0,274.0,236.25,284.0,267.0,293.0,253.0,245.0,254.5,242.5,273.75,213.0,250.0,304.25,262.5,265.0,264.5,214.75,276.5,233.25,244.25,221.25
192,267.75,306.5,202.25,287.5,250.25,230.25,231.25,279.5,262.5,292.5,243.25,280.25,238.0,314.5,253.25,249.25,324.75,216.0,280.5,253.0,282.75,293.75,251.5,237.5,260.25,230.25,278.75,231.75,299.25,217.25
193,308.25,278.25,161.25,256.0,247.0,270.5,262.5,291.0,228.5,299.75,239.75,272.75,266.5,327.5,261.5,276.5,308.75,225.5,298.75,233.75,241.25,309.75,286.75,246.75,225.5,216.5,288.0,199.0,328.5,248.0
194,264.0,260.25,166.75,225.5,242.5,237.25,268.25,281.5,220.0,301.0,232.25,302.75,299.25,333.25,249.5,259.0,323.75,259.75,298.0,259.75,241.5,283.25,298.75,273.5,213.0,231.75,284.25,214.5,274.75,213.25
195,266.0,269.75,199.0,225.5,260.5,290.75,261.75,287.25,246.0,305.0,228.0,280.75,284.5,318.75,319.5,240.5,323.0,261.25,282.25,241.75,263.5,306.75,348.25,291.75,247.25,233.5,264.75,206.25,281.75,207.5
196,289.25,275.5,195.25,297.25,244.75,285.25,250.75,265.0,242.0,300.75,243.75,267.25,269.5,332.0,209.5,286.25,249.75,248.5,311.75,246.25,257.75,309.5,307.75,259.0,240.25,222.0,264.5,219.0,282.0,241.0
197,283.25,277.0,194.0,293.25,244.75,255.25,276.75,285.0,221.25,286.75,248.25,265.75,281.5,317.25,231.25,239.25,229.5,248.0,294.0,227.0,251.75,305.5,237.75,252.25,274.0,223.75,252.25,210.0,246.75,266.25
198,317.0,285.25,199.5,254.75,238.5,280.5,221.5,309.5,275.25,280.75,241.75,278.5,262.75,330.5,233.75,288.75,291.75,279.75,273.75,223.25,238.5,288.75,319.25,265.5,254.5,236.5,294.75,222.0,301.75,216.75
199,281.0,290.75,178.5,281.5,249.0,264.25,263.5,269.25,218.5,278.5,240.5,282.25,315.25,294.75,237.25,240.0,288.0,236.75,294.5,244.25,248.5,299.75,276.5,246.75,252.75,241.5,262.25,202.25,292.75,240.25
200,269.0,265.0,201.25,245.0,236.75,279.0,245.75,272.5,230.5,276.25,232.5,282.75,273.25,316.0,270.0,287.25,237.25,227.25,283.25,236.0,224.5,296.5,281.0,267.25,244.75,232.25,274.75,220.5,291.75,234.75
201,250.25,234.0,189.25,272.0,248.0,250.5,219.75,278.0,219.75,265.25,232.75,299.25,253.0,291.75,232.5,225.0,314.5,256.5,340.0,245.5,283.25,313.5,269.25,252.25,254.75,234.25,279.25,212.0,276.5,251.0
202,232.0,308.0,187.5,264.25,222.25,286.0,240.5,272.5,279.25,280.75,218.25,272.0,289.75,301.0,250.5,237.5,252.75,234.75,262.25,255.25,258.0,274.25,253.75,235.0,202.25,245.5,249.5,261.5,317.25,262.5
203,282.5,261.25,200.0,247.75,243.75,291.25,271.25,279.0,219.75,286.75,219.75,285.75,285.5,331.0,259.5,260.25,268.25,260.25,317.5,257.0,265.75,270.25,312.5,241.0,271.5,224.5,305.0,191.75,284.5,243.25
204,300.5,300.5,188.75,248.5,252.0,246.25,256.0,284.75,265.25,286.5,229.0,286.5,251.25,325.75,251.75,210.5,280.75,229.0,302.75,266.5,262.75,283.75,253.0,231.25,201.75,224.25,316.5,207.5,274.25,254.75
205,281.75,300.25,165.75,239.25,241.75,274.75,237.25,287.25,271.25,298.75,241.25,281.75,290.25,331.5,236.75,260.25,298.25,250.25,285.0,290.75,243.25,290.75,313.5,293.5,182.25,246.0,247.75,213.0,335.25,213.0
206,269.5,253.25,160.0,269.25,257.0,300.75,236.5,293.0,273.5,274.5,228.75,278.75,262.5,302.0,242.5,235.75,236.25,274.25,277.5,237.75,239.5,289.5,312.5,276.5,260.75,224.0,294.5,223.25,311.0,253.25
207,275.75,320.5,186.5,278.75,250.25,260.75,226.75,279.5,294.25,302.5,234.75,299.75,263.75,315.5,240.75,266.0,311.5,223.5,298.5,231.25,239.5,284.25,259.5,231.0,207.0,224.25,284.5,230.75,257.25,216.0
208,239.75,277.0,206.75,282.25,248.25,280.25,254.0,254.0,230.75,271.0,287.25,286.0,300.5,294.5,238.25,303.25,317.5,238.5,285.0,240.0,250.5,318.75,294.0,210.5,227.5,219.0,303.5,208.75,279.0,248.75
209,271.25,299.5,187.5,238.5,253.25,254.5,262.0,306.75,236.0,309.0,215.25,300.25,273.5,310.25,253.25,261.25,295.5,217.25,309.5,241.5,244.75,281.5,273.25,288.5,265.5,221.75,301.0,244.75,253.5,260.25
210,288.0,298.0,189.0,255.5,239.75,252.75,247.0,296.5,223.0,314.75,212.75,271.75,247.0,299.25,246.5,311.5,287.5,260.5,291.0,238.75,267.75,314.75,237.25,254.5,225.75,215.75,243.75,224.75,276.75,233.0
211,273.25,305.0,197.25,298.5,251.75,275.5,245.0,248.5,245.25,290.0,253.5,278.0,276.75,328.0,251.5,240.0,292.5,258.5,289.5,234.25,250.5,290.75,281.75,265.5,206.25,226.75,277.25,207.0,304.5,265.0
212,278.75,307.0,168.25,275.5,256.75,269.75,236.0,255.25,260.25,273.75,242.5,276.5,266.25,322.75,262.0,266.25,349.75,242.0,316.5,254.25,233.0,315.5,271.5,234.5,280.5,216.75,292.5,232.5,299.25,239.0
213,254.25,269.25,152.75,262.75,261.75,281.0,225.5,274.75,241.0,309.0,249.25,306.5,289.5,314.25,247.5,235.75,321.5,235.5,291.75,258.5,252.25,286.75,313.5,248.75,239.75,236.25,279.75,234.5,246.0,276.5
214,267.25,303.5,177.25,268.0,232.5,290.75,272.75,254.25,240.75,262.25,262.0,291.5,262.0,309.0,237.75,263.5,318.5,214.75,288.75,239.5,262.25,310.0,305.25,243.5,220.25,236.75,283.5,248.0,283.0,248.25
