PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,SG/SF,Garrett Temple (11849022),Garrett Temple,11849022,SG/SF/F/G/UTIL,4300,MEM@LAL 12/23/2018 09:30PM ET,MEM,19.84
,,,,,,,,,PG,D.J. Augustin (11849027),D.J. Augustin,11849027,PG/G/UTIL,4300,MIA@ORL 12/23/2018 06:00PM ET,ORL,21.44
,,,,,,,,,SG/SF,Wesley Matthews (11849030),Wesley Matthews,11849030,SG/SF/F/G/UTIL,4300,DAL@POR 12/23/2018 09:00PM ET,DAL,24.23
,,,,,,,,,PG,Tyus Jones (11849019),Tyus Jones,11849019,PG/G/UTIL,4300,MIN@OKC 12/23/2018 08:00PM ET,MIN,13.09
,,,,,,,,,SF/PF,Rodions Kurucs (11849035),Rodions Kurucs,11849035,SF/PF/F/UTIL,4200,PHO@BKN 12/23/2018 06:00PM ET,BKN,14.60
,,,,,,,,,PG/SG,Patrick Beverley (11849047),Patrick Beverley,11849047,PG/SG/G/UTIL,4200,LAC@GS 12/23/2018 08:30PM ET,LAC,19.03
,,,,,,,,,PF/C,Daniel Theis (11849039),Daniel Theis,11849039,PF/C/F/UTIL,4200,CHA@BOS 12/23/2018 06:00PM ET,BOS,14.70
,,,,,,,,,PF/C,Taj Gibson (11849043),Taj Gibson,11849043,PF/C/F/UTIL,4200,MIN@OKC 12/23/2018 08:00PM ET,MIN,23.90
,,,,,,,,,PG/SG,Tim Frazier (11849051),Tim Frazier,11849051,PG/SG/G/UTIL,4200,NO@SAC 12/23/2018 06:00PM ET,NO,15.43
,,,,,,,,,SG/SF,Evan Turner (11849064),Evan Turner,11849064,SG/SF/F/G/UTIL,4100,DAL@POR 12/23/2018 09:00PM ET,POR,21.77
,,,,,,,,,PF/C,Robert Williams (11849060),Robert Williams,11849060,PF/C/F/UTIL,4100,CHA@BOS 12/23/2018 06:00PM ET,BOS,11.35
,,,,,,,,,SG/SF,Josh Okogie (11849055),Josh Okogie,11849055,SG/SF/F/G/UTIL,4100,MIN@OKC 12/23/2018 08:00PM ET,MIN,14.31
,,,,,,,,,SF/PF,Darius Miller (11849069),Darius Miller,11849069,SF/PF/F/UTIL,4100,NO@SAC 12/23/2018 06:00PM ET,NO,13.25
,,,,,,,,,SF/PF,JaMychal Green (11849090),JaMychal Green,11849090,SF/PF/F/UTIL,4000,MEM@LAL 12/23/2018 09:30PM ET,MEM,22.52
,,,,,,,,,SF/PF,Cedi Osman (11849077),Cedi Osman,11849077,SF/PF/F/UTIL,4000,CHI@CLE 12/23/2018 06:00PM ET,CLE,22.63
,,,,,,,,,SF/PF,Jabari Parker (11849086),Jabari Parker,11849086,SF/PF/F/UTIL,4000,CHI@CLE 12/23/2018 06:00PM ET,CHI,28.62
,,,,,,,,,SF/PF,Jonathan Isaac (11849073),Jonathan Isaac,11849073,SF/PF/F/UTIL,4000,MIA@ORL 12/23/2018 06:00PM ET,ORL,19.52
,,,,,,,,,SG/SF,Dion Waiters (11849081),Dion Waiters,11849081,SG/SF/F/G/UTIL,4000,MIA@ORL 12/23/2018 06:00PM ET,MIA,0
,,,,,,,,,SF/PF,DeMarre Carroll (11849094),DeMarre Carroll,11849094,SF/PF/F/UTIL,3900,PHO@BKN 12/23/2018 06:00PM ET,BKN,17.49
,,,,,,,,,SG/SF,Mikal Bridges (11849098),Mikal Bridges,11849098,SG/SF/F/G/UTIL,3900,PHO@BKN 12/23/2018 06:00PM ET,PHO,16.80
,,,,,,,,,PG/SG,Terry Rozier (11849103),Terry Rozier,11849103,PG/SG/G/UTIL,3900,CHA@BOS 12/23/2018 06:00PM ET,BOS,19.93
,,,,,,,,,PG,Ryan Arcidiacono (11849115),Ryan Arcidiacono,11849115,PG/G/UTIL,3800,CHI@CLE 12/23/2018 06:00PM ET,CHI,18.18
,,,,,,,,,PG/SG,Matthew Dellavedova (11849118),Matthew Dellavedova,11849118,PG/SG/G/UTIL,3800,CHI@CLE 12/23/2018 06:00PM ET,CLE,11.71
,,,,,,,,,C,Mohamed Bamba (11849122),Mohamed Bamba,11849122,C/UTIL,3800,MIA@ORL 12/23/2018 06:00PM ET,ORL,17.44
