,21-11-2018;teams_700.csv;Ceiling,21-11-2018;teams_700.csv;Points,21-11-2018;teams_700.csv;Floor,21-11-2018;teams_800.csv;Ceiling,21-11-2018;teams_800.csv;Points,21-11-2018;teams_800.csv;Floor,21-11-2018;teams_900.csv;Ceiling,21-11-2018;teams_900.csv;Points,21-11-2018;teams_900.csv;Floor,23-11-2018;teams_700.csv;Ceiling,23-11-2018;teams_700.csv;Points,23-11-2018;teams_700.csv;Floor,23-11-2018;teams_800.csv;Ceiling,23-11-2018;teams_800.csv;Points,23-11-2018;teams_800.csv;Floor,23-11-2018;teams_1200.csv;Ceiling,23-11-2018;teams_1200.csv;Points,23-11-2018;teams_1200.csv;Floor,23-11-2018;teams_1030.csv;Ceiling,23-11-2018;teams_1030.csv;Points,23-11-2018;teams_1030.csv;Floor,24-11-2018;teams_730.csv;Ceiling,24-11-2018;teams_730.csv;Points,24-11-2018;teams_730.csv;Floor,24-11-2018;teams_800.csv;Ceiling,24-11-2018;teams_800.csv;Points,24-11-2018;teams_800.csv;Floor,24-11-2018;teams_830.csv;Ceiling,24-11-2018;teams_830.csv;Points,24-11-2018;teams_830.csv;Floor,25-11-2018;teams_330.csv;Ceiling,25-11-2018;teams_330.csv;Points,25-11-2018;teams_330.csv;Floor,25-11-2018;teams_600.csv;Ceiling,25-11-2018;teams_600.csv;Points,25-11-2018;teams_600.csv;Floor,25-11-2018;teams_800.csv;Ceiling,25-11-2018;teams_800.csv;Points,25-11-2018;teams_800.csv;Floor,26-11-2018;teams_700.csv;Ceiling,26-11-2018;teams_700.csv;Points,26-11-2018;teams_700.csv;Floor,26-11-2018;teams_800.csv;Ceiling,26-11-2018;teams_800.csv;Points,26-11-2018;teams_800.csv;Floor,26-11-2018;teams_900.csv;Ceiling,26-11-2018;teams_900.csv;Points,26-11-2018;teams_900.csv;Floor
32,276.0,271.5,282.5,263.0,232.0,218.0,285.25,293.0,307.75,213.75,239.5,246.5,244.0,290.25,247.0,247.75,205.75,249.75,205.25,205.25,229.0,298.5,331.25,333.5,328.0,248.0,348.75,248.25,282.5,267.75,296.5,294.0,253.0,267.75,297.5,296.5,232.25,193.5,281.25,286.5,328.0,269.75,314.0,314.25,262.25,199.75,225.5,251.75
33,289.75,216.75,271.25,282.0,253.25,234.5,311.25,302.5,287.5,233.5,264.5,218.5,247.25,229.5,229.75,238.5,259.5,231.75,222.25,215.75,226.5,287.5,306.5,313.5,314.25,272.75,277.5,245.75,248.5,269.0,283.0,263.5,240.0,293.25,311.0,269.5,226.75,237.5,239.75,293.25,249.25,292.25,274.25,264.5,274.0,221.25,198.25,215.75
34,286.5,279.5,260.0,259.5,227.0,216.5,300.5,281.25,320.25,274.25,260.0,220.75,240.25,230.25,257.0,246.75,230.25,204.5,229.0,238.5,188.0,297.25,268.5,291.0,316.75,235.75,325.25,232.25,300.0,189.25,299.5,275.0,291.5,326.25,251.0,281.5,253.25,228.25,198.0,264.75,258.75,261.0,273.0,280.5,280.0,196.5,204.5,207.0
35,301.5,271.25,266.5,293.75,210.0,227.0,254.5,281.25,312.75,238.75,243.25,246.5,253.0,252.25,215.25,232.0,271.25,228.25,222.25,234.0,185.75,291.5,277.0,311.0,298.25,306.5,298.5,231.75,311.0,261.75,259.5,296.5,266.75,278.0,278.5,291.75,225.75,207.75,262.75,289.0,295.75,289.25,296.75,297.75,248.0,201.0,208.75,228.75
36,299.5,269.0,262.25,246.75,268.75,236.25,301.0,273.25,289.25,261.0,242.5,230.75,241.25,234.0,231.25,245.0,269.25,232.25,229.5,203.25,224.0,301.25,271.75,322.0,279.5,233.25,304.75,245.0,269.0,229.5,267.75,297.75,288.75,262.5,280.5,284.5,259.5,232.0,274.0,273.5,304.75,279.5,278.75,261.25,278.0,208.75,206.75,228.5
37,260.25,238.0,294.5,270.0,241.0,264.25,296.75,296.0,276.0,260.0,230.5,246.5,230.75,224.75,203.75,212.25,267.25,234.5,216.25,241.0,193.25,300.0,307.0,309.5,311.5,267.25,286.5,253.25,286.5,224.75,294.0,287.0,265.0,275.5,249.25,314.25,218.5,226.25,200.0,264.75,325.0,248.25,301.25,277.25,292.25,218.0,193.25,223.75
38,268.25,282.75,272.25,212.25,260.75,255.25,279.25,286.75,293.0,267.5,215.75,260.5,233.5,238.25,233.75,250.75,256.5,264.5,223.5,211.25,191.0,323.0,313.75,299.5,327.25,256.0,314.25,263.0,271.5,221.75,274.5,253.25,264.75,304.25,262.75,265.75,234.5,240.75,277.25,275.0,273.75,274.0,297.5,297.0,296.5,193.25,190.5,217.75
39,263.25,248.5,263.25,261.75,247.0,218.5,295.75,302.0,289.75,213.75,225.25,231.75,221.25,266.75,233.75,258.0,254.75,252.5,224.0,231.5,188.25,277.0,306.25,289.5,303.75,289.25,314.75,269.5,297.5,236.75,301.75,267.25,270.75,299.5,316.0,301.0,192.75,216.25,262.5,287.0,308.5,273.5,281.0,261.25,270.5,245.25,218.0,217.5
40,294.75,283.0,246.25,241.25,234.25,231.75,271.75,264.75,316.75,213.5,217.0,242.75,247.0,236.75,254.0,284.75,227.25,213.75,195.0,206.0,229.25,281.0,273.5,299.5,279.25,253.75,293.5,260.0,301.5,218.25,297.0,296.5,301.75,274.0,332.0,295.25,223.25,220.5,211.0,293.0,279.0,279.5,257.75,273.25,242.0,190.75,209.0,230.0
41,278.0,267.0,230.25,247.25,243.0,222.75,321.0,282.75,306.75,229.75,197.25,259.5,241.75,267.0,216.25,241.5,250.75,231.0,211.25,212.75,221.25,324.25,282.25,287.0,335.75,260.5,308.5,241.25,279.5,208.25,263.0,272.5,280.25,262.25,293.5,298.25,221.25,196.25,252.0,283.75,261.25,252.0,278.0,271.0,249.5,208.75,206.75,211.0
